date_found,title,company,location,score,status,apply_link,notes,mock_score,star_score,top_gap,session_date
2026-08-04,Junior Solutions Architect - MLOps & Real-Time Data Integration,Striim,United States,78,New,https://job-boards.greenhouse.io/striiminc/jobs/5196023007,"Strong alignment with the candidate's M.S. in Computer Engineering and practical experience building AI/RAG pipelines and real-time maps. The candidate's proficiency in Python, cloud tools, and LLMs directly maps to the AI-enabled architecture requirements.",,,"Specific MLOps toolchains (e.g., MLflow, Kubeflow), Enterprise data integration platform experience",2026-08-04
2026-08-04,Associate Solutions Architect,Lightcast,Massachusetts (MA),72,New,https://jobs.lever.co/economicmodeling/8e884d5b-c703-49af-84db-138040bcb9da,The candidate has significant experience with APIs and data persistence (PostgreSQL) from their projects. Their technical background makes them a strong fit for bridging the gap between client needs and technical implementation.,,,"Snowflake Data Shares, Direct client-facing implementation experience",2026-08-04
2026-08-04,Junior Solutions Architect,Peraton,"Reston, Virginia",55,New,https://www.careers.peraton.com/jobs/junior-solutions-architect-reston-virginia-168214-jobs--growth--,"Good match for 'researching solutions' and 'technical artifacts' based on the candidate's IEEE-style technical report and M.S. degree. Localized in NJ, close to the Reston, VA area.",,,"Proposal writing experience, Architectural framework knowledge (TOGAF, etc.)",2026-08-04
2026-08-05,Associate Solution Architect,Pigment,Remote - US,62,New,https://jobs.lever.co/pigment/522026ac-61f3-46a6-9722-2e0eccf5c8c8,Strong alignment with the candidate's M.S. in Computer Engineering and experience designing full-stack AI systems. The role's focus on implementing platform solutions matches his project history in React and FastAPI.,,,"Specific experience with planning software, Direct customer-facing solution architecture experience",2026-08-05
2026-08-06,Junior Solutions Architect,FireMon,Remote / US,48,New,https://jobs.lever.co/firemon/c777e01d-e9b8-45b9-a9c5-721122b43372,Strong overlap with the candidate's cybersecurity certification and network security projects. Lacks the 'business opportunity assessment' experience typical of architects.,,,"Business strategy/analysis, Customer Experience (CX) frameworks",2026-08-06
2026-08-10,Solution Architect Entry Level Sales Program,IBM,US,46,New,https://ibmglobal.avature.net/en_US/careers/JobDetail/Solution-Architect-Entry-Level-Sales-Program-2026/58502,Strong academic credentials and AI project work make the candidate a viable candidate for an entry-level architect program. Lacks specific business-side experience.,,,"Business value mapping, Professional architectural design patterns",2026-08-10
2026-08-12,Associate Solution Architect (Entry-level),"Coupa Software, Inc.",United States,58,New,https://jobs.lever.co/coupa,Strong alignment with the candidate's software design and implementation experience through full-stack projects. The candidate's MS in Computer Engineering provides the necessary theoretical foundation for an architect role.,,,"Business spend management domain knowledge, Enterprise software architecture patterns",2026-08-12
2026-08-13,AI-Enabled Solution Architect (Entry Level),Amentum,Remote/US,48,New,https://www.linkedin.com/jobs/view/ai-enabled-solution-architect-–-capture-proposal-support-entry-level-architect-at-amentum-4450269434,The candidate's recent focus on LLMs and RAG pipelines aligns with 'AI-Enabled' architecture. The score is tempered by the role's focus on proposals and capture support rather than pure engineering.,,,"Proposal writing experience, Capture/Business development support",2026-08-13
2026-08-18,Associate Solutions Architect,540,"Remote / Boston, MA",72,New,https://jobs.lever.co/economicmodeling/e4d68d21-424e-4dc0-8ed7-5bba0bf69eac,Strong alignment between the candidate's MS in Computer Engineering and the 'modern architecture practices' requirement. The candidate's experience with cloud (Azure/Docker) and AI matches the technical breadth sought for this entry-level role.,,,"Federal government sector experience, Healthcare domain knowledge",2026-08-18
2026-09-04,AI-Enabled Solution Architect,Amentum,"Cheyenne, WY",72,New,https://lensa.com/job-v1/amentum/cheyenne-wy/solutions-architect/d5d1c93c08f8a437d1c08a825b8b8ecb,"High overlap with AI tool proficiency and technical architecture. The candidate uses advanced AI tools (Cursor, Windsurf, Copilot) and has built complex AI integrations.",,,"Proposal writing for government/federal contracts, Enterprise architecture frameworks",2026-09-04
