date_found,title,company,location,score,status,apply_link,notes,mock_score,star_score,top_gap,session_date
2026-09-08,Junior AI Software Engineer,Dark Wolf Solutions,Remote/US,78,New,https://job-boards.greenhouse.io/darkwolfsolutions/jobs/7886153003,"Strong overlap between candidate's cybersecurity certifications/projects and the 'secure, high-assurance environment' requirements of this role. Proven experience in deployment and testing aligns well with the core job functions.",,,"MLOps pipelines construction, High-assurance environment standards",2026-09-08
2026-09-08,Associate AI Engineer,ShyftLabs,"Toronto, Ontario (Hybrid)",48,New,https://jobs.lever.co/shyftlabs/1a665cf5-1f3f-4610-be00-b46ffa13a675,Direct alignment with the 'intersection of AI/ML and backend' requirement through the candidate's AI Marketing internship. Strong Python and FastAPI skills make them a viable entry-level candidate.,,,"Production-grade ML model training, Hybrid work experience in Toronto",2026-09-08
2026-09-09,AI Engineer 1 - Platform Integration & AI,The Nuclear Company,US,68,New,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5285585008,"Strong alignment with the candidate's backend experience (FastAPI, PostgreSQL) and CI/CD tools (Docker, Kubernetes). The candidate's internship experience with system integration and deployment directly maps to this role's requirements.",,,"Formal enterprise CI/CD pipeline management, Experience with large-scale data integrations",2026-09-09
2026-09-09,Junior AI Engineer,Eitacies Inc,Remote - US,52,New,https://eitacies-inc.careerplug.com/jobs/3465501,"Candidate has a strong portfolio of AI-assisted projects using Gemini and LLMs, aligning well with the 'AI-assisted coding' and 'workflow automation' aspects. However, the resume lacks specific mentions of cloud deployment scale.",,,"Production-grade cloud deployment experience, Enterprise workflow automation frameworks",2026-09-09
2026-09-10,Junior AI Engineer,SDG Group,US,72,New,https://careers.sdggroup.com/jobs/7502548-junior-ai-engineer,"The candidate has a strong portfolio of end-to-end AI development, including RAG pipelines and full-stack AI applications. Experience with data cleaning and production-ready deployment on Render/GitHub Pages aligns well.",,,"Full-lifecycle enterprise software management, Large-scale data cleaning for industrial datasets",2026-09-10
2026-09-10,AI Engineer - Entry Level,Centennial Technologies,US,68,New,https://www.centennialtechnologies.com/jobs/ai-engineer-entry-level,"Direct overlap in designing and deploying AI models using PyTorch and LLMs. While the candidate lacks specific healthcare/finance domain experience, the technical foundation is robust.",,,"Domain-specific AI application (Healthcare/Finance), Advanced model optimization for production",2026-09-10
2026-09-11,Associate AI Engineer,OneStream Software,"Chicago, IL",58,New,"https://www.ziprecruiter.com/c/OneStream-Software/Job/Associate-AI-Engineer/-in-Chicago,IL?jid=c7dac9f4c3a6b608","Strong overlap in AI tools and LLM experience from the candidate's internship and hackathons. Based in Chicago, requiring relocation or remote confirmation.",,,"Corporate software platform implementation experience, Enterprise AI safety and governance",2026-09-11
2026-09-12,"Junior AI/ML Engineer (GenAI, AWS)",Provectus,Remote-friendly,48,New,https://jobs.lever.co/provectus/dc77e23a-c453-4683-9e17-f8e5ddf8ba7c,"The candidate has significant GenAI project experience (RAG pipelines) which aligns well with the role's focus, though AWS specific experience is not explicitly highlighted.",,,"AWS certifications/tooling, Claude-specific framework development",2026-09-12
2026-09-12,Junior AI Engineer,K Group Companies,Onsite (US),45,New,https://jobs.lever.co/kgroupcompanies/26491a9f-ac14-4f12-a1ff-a2b96bf0356e,"Experience with automation workflows in the TARS internship translates well to this role. However, the 'Onsite' requirement may be a constraint depending on the candidate's location.",,,"Industrial automation tools, Client-facing design iteration",2026-09-12
2026-09-14,Associate AI Engineer,New York Life,Remote / U.S.,48,New,https://job-boards.greenhouse.io/exadelinc/jobs/5620668004,The candidate has significant recent experience building AI chatbots and newsletter systems using FastAPI and Gemini. The score is moderated by the lack of experience in highly regulated corporate environments like insurance.,,,"Enterprise-grade AI safety guardrails, Production-quality software lifecycle (SDLC)",2026-09-14
2026-09-15,AI Engineer (Entry-Level),Asurion,United States,78,New,https://www.ziprecruiter.com/Jobs/Entry-Level-Ai-Engineer,"Strong alignment with 'Agents' focus due to the candidate's Multi-Domain Support Triage Agent project. Practical experience with LLMs, RAG pipelines, and FastAPI matches the technical core of this role.",,,"A/B testing/experimentation frameworks, Device protection domain knowledge",2026-09-15
2026-09-15,Entry level AI/ML Engineer: SVL,IBM,"San Jose, CA",72,New,https://www.linkedin.com/jobs/view/entry-level-ai-ml-engineer-svl-at-ibm-4372622472,"Strong academic foundation with an M.S. in Computer Engineering and Deep Learning coursework. Technical overlap with PyTorch, Pandas, and NumPy is high for ML development.",,,"Enterprise-scale ML production deployment, Specific IBM AI toolkit experience",2026-09-15
