date_found,title,company,location,score,status,apply_link,notes,mock_score,star_score,top_gap,session_date
2026-08-04,Tier 1 Junior SOC Analyst,Cybrella,Remote/Not Specified,72,New,https://www.cybrella.io/jobs/junior-soc-analyst,Strong alignment with the candidate's academic background in Computer Engineering and a specific Cybersecurity certification from Rutgers. The candidate's practical project on MITM attacks and ARP spoofing using Wireshark and Kali Linux directly maps to the core requirements of threat detection and networking.,,,"Professional incident response experience, Formal SOC environment exposure",2026-08-04
2026-08-04,Associate Security Research Engineer,Picus,Remote/Not Specified,68,New,https://jobs.lever.co/picus/b74e0263-a097-451a-b66b-43f2b528b3b4,"The candidate is a recent/upcoming graduate with a strong research-oriented profile, including an IEEE-style technical report on network mitigations. Their software engineering internships and advanced AI project work align well with the 'Security Research' aspect of this role.",,,"CTF competitive experience, Professional security consulting exposure",2026-08-04
2026-08-04,Junior Security Analyst,NavitasPartners,"Philadelphia, PA",48,New,https://www.ziprecruiter.com/Jobs/Entry-Level-Security-Analyst,"The candidate has the technical skills required for a SOC L1 role, but the location (Philadelphia, PA) is a potential friction point compared to their East Windsor, NJ residence, though it is within commuting distance. The role is a contract position which may be less desirable for a student graduating in 2026.",,,"Direct experience in security monitoring and analysis, Professional SOC analyst experience",2026-08-04
2026-08-06,Associate Solutions Consultant,Zeta Global,USA,52,New,https://job-boards.greenhouse.io/zetaglobal/jobs/4815234004,"Strong alignment with data handling and product development projects. However, lacks specific sales enablement or advertising industry experience.",,,"Advertising inventory knowledge, Sales proposal creation",2026-08-06
2026-08-10,Untitled role,Higher Logic,US,55,New,https://job-boards.greenhouse.io/higherlogic/jobs/7776141003,"Candidate has a strong foundation in data handling, PostgreSQL, and AI workflows. The RAG pipeline project demonstrates ability to handle structured/unstructured data.",,,"Enterprise-scale data pipeline orchestration (e.g., Airflow), Advanced BI tool experience",2026-08-10
2026-08-10,Untitled role,Talkdesk,Remote - United States,48,New,https://job-boards.greenhouse.io/talkdesk2,General technical proficiency matches the entry-level requirement. Candidate's experience with API-driven solutions is a relevant asset.,,,"Contact center/CCaaS domain knowledge, Specific regional experience in the Western US",2026-08-10
2026-08-15,Solution Engineering Associate,Dun & Bradstreet,"Jacksonville, FL",68,New,https://jobs.lever.co/dnb,Strong alignment between the candidate's full-stack development experience and the technical client solutions focus. The candidate's API and database proficiency directly supports the requirements for an associate solution engineer.,,,"Specific experience in corporate financial data solutions, Formal consultative sales training",2026-08-15
2026-08-16,AWS Entry Level Roles,Amazon Web Services (AWS),Remote/Various,68,New,https://www.amazon.jobs/content/en/teams/amazon-web-services/entry-level,"Strong alignment with the candidate's M.S. in Computer Engineering focus on Cloud Computing and Big Data. Experience with Docker, Kubernetes, and Azure provides a solid technical foundation for AWS transition.",,,"Specific AWS service experience (S3, EC2, Lambda), Distributed systems design patterns",2026-08-16
2026-08-21,Software Engineer (Entry-level),Educative Inc,Remote,62,New,https://jobs.lever.co/educative/09b4532f-3645-41bf-8546-e05b3448b8a0,"Excellent match for the 'interactive' and 'cloud computing' themes given the candidate's AI chatbot and newsletter projects. The tech stack (React, Python) is a direct overlap with the company's likely needs.",,,"Experience with hyper-growth scale environments, Pedagogical design for coding courses",2026-08-21
2026-08-30,Software Engineer (Entry Level),Voltus,Remote,52,New,https://jobs.lever.co/voltus/f13d367c-97c1-4af3-8e8b-06827017fee2,"Strong alignment with a modern tech stack (Python, React, FastAPI) and entry-level suitability. Candidate's full-stack AI projects demonstrate the ability to build scalable software.",,,"Domain knowledge in grid decarbonization, Experience with large-scale distributed systems",2026-08-30
