date_found,title,company,location,score,status,apply_link,notes,mock_score,star_score,top_gap,session_date
2026-09-08,"Forward Deployed Software Engineer, New Grad - Commercial",Palantir Technologies,Remote/Various (US),78,New,https://jobs.lever.co/palantir/e500bcf3-19d8-4d3c-b340-4d76e4a55b40,Strong alignment between candidate's 'Solutions & Customer-Facing' skills and the FDE role's focus on stakeholder relationships. Extensive experience with LLM workflows and AI agents directly matches the job summary.,,,"Experience with Palantir-specific platforms (Gotham/Apollo), Enterprise-scale production deployment",2026-09-08
2026-09-09,Associate Forward Deployed Engineer,Eliza,US,45,New,https://jobs.ashbyhq.com/eliza/3190c7b1-a01f-42e0-9a16-2c6dfc40eb8d,"Candidate's recent work with Generative AI, RAG pipelines, and LLM integrations is highly relevant to Eliza's focus. The score is limited by a lack of explicitly 'forward deployed' or customer-facing engineering experience.",,,"Customer-facing delivery experience, On-site client implementation",2026-09-09
2026-09-10,Forward Deployed Engineer - Entry Level,"Ordr, Inc.",US,78,New,https://prosple.com/graduate-employers/ordr-inc/jobs-internships/forward-deployed-engineer-entry-level,Strong alignment with academic requirements (BS/MS in EE/CS) and practical experience in AI model deployment. The candidate's project history with hardware-software integration (Raspberry Pi/React Native) fits the 'Forward Deployed' profile perfectly.,,,"Direct customer-facing deployment feedback loops, Specific healthcare/industrial IoT domain knowledge",2026-09-10
2026-09-10,"Forward Deployed Software Engineer, New Grad",Palantir,Remote/US,48,New,https://jobs.lever.co/palantir/5a28f3a5-8655-47f2-ab19-a79b8a319da8,"Strong software engineering fundamentals and experience with complex data flows. However, lack of direct client-facing 'Forward Deployed' experience is a gap.",,,"Customer discovery and requirements gathering, Palantir platform-specific knowledge",2026-09-10
2026-09-11,Forward Deployed Software Engineer (New Grad - Commercial),Palantir,US,68,New,https://jobs.lever.co/palantir/33243fb5-6907-40c7-930c-968b25d825d0,The candidate's experience building full-stack AI systems and custom data solutions (RAG pipeline) aligns well with 'Forward Deployed' requirements. Strong academic background in Computer Engineering.,,,"Large-scale distributed systems experience, Direct customer-facing consulting experience",2026-09-11
2026-09-12,Junior Forward Deployed Engineer,Wipro Limited,Remote / US,58,New,https://careers.wipro.com/job/Junior-Forward-Deployed-Engineer/160017-en_US,Good fit for an early-career role requiring platform deployment and client support. The candidate's experience with Firebase hosting and cloud deployments provides a solid technical foundation.,,,"Enterprise client management, Applied AI production deployment",2026-09-12
2026-09-14,"Forward Deployed Engineer, Test (Entry-Junior)",Revel,"Los Angeles, CA",68,New,https://www.linkedin.com/jobs/view/forward-deployed-engineer-test-entry-junior-at-revel-4453365389,Strong alignment between the candidate's hardware-software integration projects (Raspberry Pi/TCP sockets) and the role's focus on field deployment and testing. Experience with PyTest and CI/CD tools directly supports the 'Test' aspect of the role.,,,"Field-specific testing protocols, Commercial deployment lifecycle",2026-09-14
2026-09-16,Associate Forward Deployed Product Manager/Engineer Support,Cresta,United States,78,New,https://job-boards.greenhouse.io/cresta/jobs/4992510008,Strong overlap with candidate's recent AI internship and hackathon experience building LLM agents and prompt-driven systems. The candidate's focus on RAG pipelines and intent detection aligns perfectly with 'AI Agent products'.,,,"Fortune 500 client experience, Direct Product Management frameworks",2026-09-16
2026-09-17,Forward Deployed Engineer - Entry Level,HashiCorp,United States,55,New,https://jobs.notablecap.com/companies/hashicorp-3/jobs/76912908-forward-deployed-engineer-entry-level,"Good baseline in Cloud/DevOps (Docker, Kubernetes, Azure) and Security, but lacks specific Terraform and Vault experience. Strong potential due to Cybersecurity certification and Cloud background.",,,"Terraform, HashiCorp Vault",2026-09-17
2026-09-18,Forward Deployed Engineer - Entry Level,IBM,United States,62,New,https://careers.wct-fct.com/companies/ibm-3-4a60ee92-bf4e-4d40-a05f-64c07371883f/jobs/76807842-forward-deployed-engineer-entry-level,"Candidate has the foundational AI and Cloud skills (Docker, Kubernetes, Azure) required for a deployment role. However, there is a lack of specific experience with IBM's proprietary toolset (watsonx, Concert) and Terraform.",,,"HashiCorp Terraform, watsonx Code Assistant",2026-09-18
